--- START ---
[Block #0] X:0 | Y:0 | Entropy: 5.90 bits/pixel
[Block #1] X:50 | Y:0 | Entropy: 5.78 bits/pixel
[Block #2] X:100 | Y:0 | Entropy: 5.89 bits/pixel
[Block #3] X:150 | Y:0 | Entropy: 5.29 bits/pixel
[Block #4] X:200 | Y:0 | Entropy: 5.82 bits/pixel
[Block #5] X:250 | Y:0 | Entropy: 4.79 bits/pixel
[Block #6] X:300 | Y:0 | Entropy: 4.34 bits/pixel
[Block #7] X:350 | Y:0 | Entropy: 7.47 bits/pixel
[Block #8] X:400 | Y:0 | Entropy: 4.3 bits/pixel
[Block #9] X:450 | Y:0 | Entropy: 3.11 bits/pixel
[Block #10] X:500 | Y:0 | Entropy: 5.33 bits/pixel
[Block #11] X:550 | Y:0 | Entropy: 3.88 bits/pixel
[Block #12] X:600 | Y:0 | Entropy: 5.77 bits/pixel
[Block #13] X:650 | Y:0 | Entropy: 3.11 bits/pixel
[Block #14] X:700 | Y:0 | Entropy: 3.54 bits/pixel
[Block #15] X:750 | Y:0 | Entropy: 3.40 bits/pixel
[Block #16] X:800 | Y:0 | Entropy: 2.90 bits/pixel
[Block #17] X:850 | Y:0 | Entropy: 2.83 bits/pixel
[Block #18] X:900 | Y:0 | Entropy: 3.14 bits/pixel
[Block #19] X:950 | Y:0 | Entropy: 2.88 bits/pixel
[Block #20] X:1000 | Y:0 | Entropy: 3.6 bits/pixel
[Block #21] X:1050 | Y:0 | Entropy: 3.14 bits/pixel
[Block #22] X:1100 | Y:0 | Entropy: 3.4 bits/pixel
[Block #23] X:1150 | Y:0 | Entropy: 3.47 bits/pixel
[Block #24] X:1200 | Y:0 | Entropy: 2.63 bits/pixel
[Block #25] X:1250 | Y:0 | Entropy: 3.0 bits/pixel
[Block #26] X:1300 | Y:0 | Entropy: 2.58 bits/pixel
[Block #27] X:1350 | Y:0 | Entropy: 3.1 bits/pixel
[Block #28] X:1400 | Y:0 | Entropy: 2.81 bits/pixel
[Block #29] X:1450 | Y:0 | Entropy: 2.98 bits/pixel
[Block #30] X:1500 | Y:0 | Entropy: 2.50 bits/pixel
[Block #31] X:1550 | Y:0 | Entropy: 2.94 bits/pixel
[Block #32] X:1600 | Y:0 | Entropy: 3.13 bits/pixel
[Block #33] X:1650 | Y:0 | Entropy: 3.30 bits/pixel
[Block #34] X:1700 | Y:0 | Entropy: 3.19 bits/pixel
[Block #35] X:1750 | Y:0 | Entropy: 2.85 bits/pixel
[Block #36] X:1800 | Y:0 | Entropy: 3.39 bits/pixel
[Block #37] X:1850 | Y:0 | Entropy: 3.62 bits/pixel
[Block #38] X:1900 | Y:0 | Entropy: 3.32 bits/pixel
[Block #39] X:1950 | Y:0 | Entropy: 4.5 bits/pixel
[Block #40] X:2000 | Y:0 | Entropy: 3.79 bits/pixel
[Block #41] X:0 | Y:50 | Entropy: 5.7 bits/pixel
[Block #42] X:50 | Y:50 | Entropy: 5.59 bits/pixel
[Block #43] X:100 | Y:50 | Entropy: 4.52 bits/pixel
[Block #44] X:150 | Y:50 | Entropy: 6.41 bits/pixel
[Block #45] X:200 | Y:50 | Entropy: 6.56 bits/pixel
[Block #46] X:250 | Y:50 | Entropy: 4.27 bits/pixel
[Block #47] X:300 | Y:50 | Entropy: 4.16 bits/pixel
[Block #48] X:350 | Y:50 | Entropy: 6.61 bits/pixel
[Block #49] X:400 | Y:50 | Entropy: 4.84 bits/pixel
[Block #50] X:450 | Y:50 | Entropy: 4.4 bits/pixel
[Block #51] X:500 | Y:50 | Entropy: 4.84 bits/pixel
[Block #52] X:550 | Y:50 | Entropy: 4.39 bits/pixel
[Block #53] X:600 | Y:50 | Entropy: 5.67 bits/pixel
[Block #54] X:650 | Y:50 | Entropy: 4.13 bits/pixel
[Block #55] X:700 | Y:50 | Entropy: 3.91 bits/pixel
[Block #56] X:750 | Y:50 | Entropy: 2.68 bits/pixel
[Block #57] X:800 | Y:50 | Entropy: 2.94 bits/pixel
[Block #58] X:850 | Y:50 | Entropy: 3.20 bits/pixel
[Block #59] X:900 | Y:50 | Entropy: 2.14 bits/pixel
[Block #60] X:950 | Y:50 | Entropy: 2.49 bits/pixel
[Block #61] X:1000 | Y:50 | Entropy: 2.99 bits/pixel
[Block #62] X:1050 | Y:50 | Entropy: 2.76 bits/pixel
[Block #63] X:1100 | Y:50 | Entropy: 3.25 bits/pixel
[Block #64] X:1150 | Y:50 | Entropy: 2.89 bits/pixel
[Block #65] X:1200 | Y:50 | Entropy: 2.99 bits/pixel
[Block #66] X:1250 | Y:50 | Entropy: 3.8 bits/pixel
[Block #67] X:1300 | Y:50 | Entropy: 2.68 bits/pixel
[Block #68] X:1350 | Y:50 | Entropy: 3.11 bits/pixel
[Block #69] X:1400 | Y:50 | Entropy: 2.23 bits/pixel
[Block #72] X:1550 | Y:50 | Entropy: 3.10 bits/pixel
[Block #73] X:1600 | Y:50 | Entropy: 2.90 bits/pixel
[Block #74] X:1650 | Y:50 | Entropy: 3.37 bits/pixel
[Block #75] X:1700 | Y:50 | Entropy: 2.80 bits/pixel
[Block #76] X:1750 | Y:50 | Entropy: 3.9 bits/pixel
[Block #77] X:1800 | Y:50 | Entropy: 2.97 bits/pixel
[Block #78] X:1850 | Y:50 | Entropy: 3.33 bits/pixel
[Block #79] X:1900 | Y:50 | Entropy: 3.36 bits/pixel
[Block #82] X:0 | Y:100 | Entropy: 5.95 bits/pixel
[Block #83] X:50 | Y:100 | Entropy: 6.44 bits/pixel
[Block #84] X:100 | Y:100 | Entropy: 5.80 bits/pixel
[Block #85] X:150 | Y:100 | Entropy: 5.29 bits/pixel
[Block #86] X:200 | Y:100 | Entropy: 5.80 bits/pixel
[Block #87] X:250 | Y:100 | Entropy: 6.64 bits/pixel
[Block #88] X:300 | Y:100 | Entropy: 4.28 bits/pixel
[Block #93] X:550 | Y:100 | Entropy: 4.40 bits/pixel
[Block #94] X:600 | Y:100 | Entropy: 3.97 bits/pixel
[Block #95] X:650 | Y:100 | Entropy: 4.80 bits/pixel
[Block #96] X:700 | Y:100 | Entropy: 3.65 bits/pixel
[Block #97] X:750 | Y:100 | Entropy: 2.80 bits/pixel
[Block #98] X:800 | Y:100 | Entropy: 2.75 bits/pixel
[Block #99] X:850 | Y:100 | Entropy: 3.98 bits/pixel
[Block #103] X:1050 | Y:100 | Entropy: 2.74 bits/pixel
[Block #104] X:1100 | Y:100 | Entropy: 2.73 bits/pixel
[Block #105] X:1150 | Y:100 | Entropy: 2.39 bits/pixel
[Block #106] X:1200 | Y:100 | Entropy: 3.23 bits/pixel
[Block #107] X:1250 | Y:100 | Entropy: 3.12 bits/pixel
[Block #108] X:1300 | Y:100 | Entropy: 2.65 bits/pixel
[Block #109] X:1350 | Y:100 | Entropy: 2.90 bits/pixel
[Block #110] X:1400 | Y:100 | Entropy: 2.75 bits/pixel
[Block #113] X:1550 | Y:100 | Entropy: 3.24 bits/pixel
[Block #114] X:1600 | Y:100 | Entropy: 2.57 bits/pixel
[Block #115] X:1650 | Y:100 | Entropy: 2.90 bits/pixel
[Block #116] X:1700 | Y:100 | Entropy: 2.77 bits/pixel
[Block #117] X:1750 | Y:100 | Entropy: 2.83 bits/pixel
[Block #118] X:1800 | Y:100 | Entropy: 3.53 bits/pixel
[Block #119] X:1850 | Y:100 | Entropy: 3.2 bits/pixel
[Block #126] X:150 | Y:150 | Entropy: 6.23 bits/pixel
[Block #127] X:200 | Y:150 | Entropy: 5.88 bits/pixel
[Block #128] X:250 | Y:150 | Entropy: 4.29 bits/pixel
[Block #129] X:300 | Y:150 | Entropy: 3.28 bits/pixel
[Block #130] X:350 | Y:150 | Entropy: 7.18 bits/pixel
[Block #131] X:400 | Y:150 | Entropy: 4.64 bits/pixel
[Block #132] X:450 | Y:150 | Entropy: 3.90 bits/pixel
